gas-pop	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/01 Pop 1.flac	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/01 Pop 1.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/19 Aria variata (alla maniera italiana) in A minor, BWV 989_ VIII. Variation 7.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/19 Aria variata (alla maniera italiana) in A minor, BWV 989_ VIII. Variation 7.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/20 Aria variata (alla maniera italiana) in A minor, BWV 989_ IX. Variation 8.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/20 Aria variata (alla maniera italiana) in A minor, BWV 989_ IX. Variation 8.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/21 Aria variata (alla maniera italiana) in A minor, BWV 989_ X. Variation 9.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/21 Aria variata (alla maniera italiana) in A minor, BWV 989_ X. Variation 9.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/22 Aria variata (alla maniera italiana) in A minor, BWV 989_ XI. Variation 10.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/22 Aria variata (alla maniera italiana) in A minor, BWV 989_ XI. Variation 10.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/23 Aria variata (alla maniera italiana) in A minor, BWV 989_ XII. Aria da capo.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/23 Aria variata (alla maniera italiana) in A minor, BWV 989_ XII. Aria da capo.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/24 Invention no. 12 in A major, BWV 783.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/24 Invention no. 12 in A major, BWV 783.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/25 Sinfonia no. 12 in A major, BWV 798.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/25 Sinfonia no. 12 in A major, BWV 798.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/26 Partita no. 3 for Violin Solo in E major, BWV 1006, 3. Gavotte (Transcr. by Sergei Rachmaninov).flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/26 Partita no. 3 for Violin Solo in E major, BWV 1006, 3. Gavotte (Transcr. by Sergei Rachmaninov).flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/27 Prelude and Fugue in E minor, BWV 855a, Prelude (The Well-Tempered Clavier, Book I, No. 10; transcr. to B minor by Alexander Siloti).flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/27 Prelude and Fugue in E minor, BWV 855a, Prelude (The Well-Tempered Clavier, Book I, No. 10; transcr. to B minor by Alexander Siloti).flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/28 Sinfonia no. 15 in B minor, BWV 801.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/28 Sinfonia no. 15 in B minor, BWV 801.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/29 Invention no. 15 in B minor, BWV 786.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/29 Invention no. 15 in B minor, BWV 786.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/30 Harpsichord Concerto in D minor, BWV 974, (After Alessandro Marcello's Oboe Concerto)_ I. Andante.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/30 Harpsichord Concerto in D minor, BWV 974, (After Alessandro Marcello's Oboe Concerto)_ I. Andante.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/31 Harpsichord Concerto in D minor, BWV 974, (After Alessandro Marcello's Oboe Concerto)_ II. Adagio.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/31 Harpsichord Concerto in D minor, BWV 974, (After Alessandro Marcello's Oboe Concerto)_ II. Adagio.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/32 Harpsichord Concerto in D minor, BWV 974, (After Alessandro Marcello's Oboe Concerto)_ III. Presto.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/32 Harpsichord Concerto in D minor, BWV 974, (After Alessandro Marcello's Oboe Concerto)_ III. Presto.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/33 Chorale Prelude, BWV 639, _Ich ruf zu dir, Her Jesu Christ_, (Transcr. by Ferruccio Busoni).flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/33 Chorale Prelude, BWV 639, _Ich ruf zu dir, Her Jesu Christ_, (Transcr. by Ferruccio Busoni).flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/34 Fantasia and Fugue in A minor, BWV 904_ I. Fantasia.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/34 Fantasia and Fugue in A minor, BWV 904_ I. Fantasia.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/35 Fantasia and Fugue in A minor, BWV 904_ II. Fugue.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/35 Fantasia and Fugue in A minor, BWV 904_ II. Fugue.flac
